target_id,target_chain,design_chain,design_length,hotspots,description
CD3d,B,A,64,"B67-78,B85,B88-110,B113,B124",CD3 delta
EGFR,B,A,65,"B72-73,B78-84,B100-113,B136-142,B162,B164-175,B192-199,B219-225",EGFR
EGFR2,B,A,62,"B63-69,B95-119,B124,B141-152",FGFR2 (EGFR2)
H3,B,A,65,"B75-78,B81,B93-97,B106,B131-135,B137,B155-165,B175-195,B197-198,B210,B214,B252-258",Influenza H3
IL7Ra,B,A,64,"B74-75,B79,B81,B102-111,B124-134,B148-153,B155,B185-190,B238-242",IL-7 receptor alpha
InsulinR,B,A,65,"B72-76,B92,B94-101,B120,B122-127,B148-151,B154-157,B159,B176,B178-182,B201-207",Insulin receptor
PDGFR,B,A,61,"B65-76,B97-101,B120-125,B137-147,B176-182,B196,B198-210,B230-234",PDGFR
TGFb,B,A,64,"B68-70,B72,B74-79,B81-88,B102-113,B115,B117,B126,B128-144",TGF-beta
Tie2,B,A,65,"B80-90,B103-106,B117,B147-166,B188,B190-199",Tie2
TrkA,B,A,64,"B72-89,B112-120,B122,B124-131,B133-134,B157-162",TrkA
VirB8,B,A,65,"B87-101,B103-119,B122-125,B128-129,B132,B191",VirB8
